datetime,windspeed,winddir
2023-02-16,18.2,46.8
2023-02-17,18.9,69.5
2023-02-18,17.1,40.8
2023-02-19,12.9,7.9
2023-02-20,30.0,295.9
2023-02-21,17.7,229.1
2023-02-22,15.6,25.2
2023-02-23,14.4,81.8
2023-02-24,12.7,107.6
2023-02-25,15.5,123.3
2023-02-26,22.6,92.8
2023-02-27,18.1,75.4
2023-02-28,18.2,103.8
2023-03-01,25.2,142.3
2023-03-02,19.0,96.6
2023-03-03,19.0,15.5
2023-03-04,18.8,280.6
2023-03-05,22.5,291.2
2023-03-06,19.4,317.6
2023-03-07,19.2,61.2
2023-03-08,14.2,323.1
2023-03-09,18.7,208.4
2023-03-10,12.7,52.8
2023-03-11,10.7,353.5
2023-03-12,26.2,88.4
2023-03-13,22.8,85.4
2023-03-14,12.7,111.8
2023-03-15,14.5,190.6
2023-03-16,14.4,97.3
2023-03-17,12.0,354.4
2023-03-18,13.9,282.6
2023-03-19,12.4,295.2
2023-03-20,16.6,6.2
2023-03-21,21.9,72.1
2023-03-22,19.3,36.1
2023-03-23,17.6,56.6
2023-03-24,16.3,29.7
2023-03-25,13.6,352.0
2023-03-26,20.8,254.7
2023-03-27,22.5,74.5
2023-03-28,17.8,344.6
2023-03-29,21.3,295.9
2023-03-30,30.7,305.8
2023-03-31,22.0,13.8
2023-04-01,10.4,303.0
2023-04-02,14.8,338.9
2023-04-03,22.0,305.5
2023-04-04,18.5,83.6
2023-04-05,12.8,65.5
2023-04-06,10.3,230.2
2023-04-07,19.4,284.1
2023-04-08,16.0,305.3
2023-04-09,34.7,304.2
2023-04-10,18.2,310.3
2023-04-11,13.4,216.2
2023-04-12,21.4,327.0
2023-04-13,23.3,310.6
2023-04-14,21.7,216.1
2023-04-15,16.3,41.7
2023-04-16,10.7,32.3
2023-04-17,11.2,288.2
2023-04-18,11.8,207.7
2023-04-19,10.9,269.2
2023-04-20,21.0,298.2
2023-04-21,19.9,308.7
2023-04-22,26.5,290.0
2023-04-23,13.7,220.3
2023-04-24,14.8,324.5
2023-04-25,21.7,317.8
2023-04-26,14.7,327.7
2023-04-27,19.7,296.6
2023-04-28,14.6,248.5
2023-04-29,20.2,279.5
2023-04-30,13.1,33.3
2023-05-01,15.4,355.2
2023-05-02,21.8,283.2
2023-05-03,27.1,273.6
2023-05-04,17.8,313.8
2023-05-05,22.4,267.2
2023-05-06,17.3,313.5
2023-05-07,27.1,143.9
2023-05-08,39.1,155.0
2023-05-09,12.8,285.0
2023-05-10,13.1,271.3
2023-05-11,17.4,269.3
2023-05-12,15.2,307.8
2023-05-13,19.7,2.2
2023-05-14,21.5,355.8
2023-05-15,22.6,102.8
2023-05-16,17.4,12.0
2023-05-17,19.3,273.8
2023-05-18,26.4,305.4
2023-05-19,24.3,248.3
2023-05-20,12.1,321.9
2023-05-21,22.6,285.5
2023-05-22,15.2,344.6
2023-05-23,17.2,10.8
2023-05-24,14.8,334.9
2023-05-25,21.0,3.4
2023-05-26,16.4,172.5
2023-05-27,17.6,38.2
2023-05-28,16.3,38.4
2023-05-29,11.0,49.2
2023-05-30,27.1,26.1
2023-05-31,25.1,339.1
2023-06-01,16.9,256.1
2023-06-02,19.2,310.3
2023-06-03,29.5,314.4
2023-06-04,22.0,319.3
2023-06-05,16.5,174.2
2023-06-06,19.6,348.6
2023-06-07,17.2,353.8
2023-06-08,28.3,299.2
2023-06-09,29.0,245.8
2023-06-10,14.1,230.5
2023-06-11,18.3,304.8
2023-06-12,17.4,262.3
2023-06-13,22.4,205.4
2023-06-14,24.1,272.8
2023-06-15,29.3,251.7
2023-06-16,19.8,197.8
2023-06-17,16.7,302.2
2023-06-18,13.8,334.8
2023-06-19,30.0,294.3
2023-06-20,15.3,201.0
2023-06-21,18.8,299.0
2023-06-22,14.2,332.7
2023-06-23,13.1,16.0
2023-06-24,13.4,311.5
2023-06-25,11.2,316.2
2023-06-26,14.6,317.4
2023-06-27,19.3,18.7
2023-06-28,23.7,23.4
2023-06-29,16.8,248.7
2023-06-30,17.8,185.1
2023-07-01,14.0,316.5
2023-07-02,9.7,336.2
2023-07-03,12.7,345.1
2023-07-04,15.8,272.6
2023-07-05,10.8,211.1
2023-07-06,14.6,340.0
2023-07-07,19.0,290.8
2023-07-08,21.1,293.1
2023-07-09,25.5,202.7
2023-07-10,33.7,153.1
2023-07-11,30.5,116.7
2023-07-12,22.1,97.5
2023-07-13,15.0,80.9
2023-07-14,17.4,32.6
2023-07-15,15.2,347.4
2023-07-16,23.3,209.7
2023-07-17,10.0,322.5
